cust_id,lookalikes
C0001,"C0005:0.744,C0069:0.676,C0020:0.656,C0091:0.560,C0181:0.506"
C0002,"C0106:0.641,C0060:0.629,C0151:0.617,C0077:0.585,C0086:0.570"
C0003,"C0144:0.752,C0007:0.646,C0091:0.608,C0005:0.586,C0045:0.544"
C0004,"C0075:0.887,C0122:0.813,C0028:0.770,C0065:0.727,C0162:0.700"
C0005,"C0001:0.744,C0128:0.646,C0094:0.633,C0031:0.627,C0199:0.618"
C0006,"C0135:0.708,C0079:0.700,C0170:0.613,C0149:0.586,C0129:0.574"
C0007,"C0166:0.676,C0003:0.646,C0112:0.622,C0120:0.609,C0005:0.585"
C0008,"C0098:0.851,C0162:0.726,C0175:0.679,C0145:0.656,C0194:0.648"
C0009,"C0058:0.762,C0032:0.751,C0150:0.709,C0097:0.694,C0119:0.675"
C0010,"C0132:0.774,C0027:0.771,C0111:0.764,C0198:0.734,C0030:0.704"
C0011,"C0099:0.815,C0188:0.754,C0101:0.710,C0165:0.620,C0056:0.613"
C0012,"C0113:0.804,C0104:0.736,C0163:0.722,C0162:0.706,C0152:0.664"
C0013,"C0188:0.735,C0099:0.723,C0053:0.691,C0169:0.678,C0093:0.651"
C0014,"C0060:0.837,C0080:0.832,C0110:0.773,C0097:0.704,C0151:0.700"
C0015,"C0071:0.613,C0097:0.585,C0009:0.554,C0127:0.554,C0197:0.553"
C0016,"C0021:0.663,C0126:0.632,C0051:0.622,C0187:0.606,C0191:0.582"
C0017,"C0156:0.657,C0041:0.621,C0090:0.570,C0101:0.559,C0068:0.516"
C0018,"C0114:0.686,C0148:0.609,C0087:0.604,C0045:0.562,C0176:0.540"
C0019,"C0147:0.740,C0139:0.711,C0047:0.697,C0119:0.605,C0121:0.593"
C0020,"C0001:0.656,C0066:0.637,C0026:0.600,C0055:0.571,C0120:0.527"
