cust_id,lookalikes
C0001,"C0069:0.976,C0072:0.906,C0120:0.872"
C0002,"C0134:0.960,C0106:0.916,C0159:0.900"
C0003,"C0007:0.934,C0166:0.870,C0005:0.859"
C0004,"C0075:0.974,C0065:0.918,C0017:0.870"
C0005,"C0166:0.934,C0197:0.925,C0085:0.896"
C0006,"C0185:0.920,C0196:0.856,C0044:0.807"
C0007,"C0085:0.941,C0003:0.934,C0005:0.849"
C0008,"C0109:0.928,C0175:0.825,C0098:0.823"
C0009,"C0032:0.910,C0027:0.820,C0033:0.787"
C0010,"C0029:0.979,C0111:0.963,C0083:0.959"
C0011,"C0016:0.904,C0142:0.782,C0061:0.765"
C0012,"C0113:0.863,C0162:0.840,C0195:0.822"
C0013,"C0046:0.955,C0099:0.946,C0188:0.889"
C0014,"C0097:0.979,C0128:0.964,C0144:0.959"
C0015,"C0071:0.951,C0052:0.879,C0025:0.854"
C0016,"C0011:0.904,C0155:0.756,C0153:0.745"
C0017,"C0075:0.913,C0122:0.880,C0065:0.871"
C0018,"C0168:0.838,C0087:0.798,C0125:0.791"
C0019,"C0191:0.832,C0094:0.803,C0179:0.789"
C0020,"C0130:0.937,C0112:0.892,C0120:0.866"
